name,g_gbr,k_gbr
ABW,42.3983997144,89.8769433202
ACO,31.4076613475,90.18030389649999
AEI,25.2041384714,50.301073919
AEL,28.7996942433,65.1505942247
AEN,29.565963638200003,52.7121368114
AET,22.067712643000004,40.4591370782
AFG,29.5395171653,64.38299403149999
AFN,22.745542124,43.11638261
AFO,27.761906812,57.591677826
AFR,22.682408184699998,50.772488070600005
AFS,20.311332442,50.1289599621
AFT,25.5420839725,51.912482103500004
AFV,22.8837062369,51.0729877972
AFX,25.1210648457,50.840550516899995
AFY,19.7417141533,39.0653681679
AHT,36.2743168823,63.9096876814
ANA,34.1795005364,58.9130176767
APC,32.345309009299996,63.216154948500005
APD,38.5932791767,81.4855727305
AST,35.5239910392,83.361308654
ASV,26.402279226300003,42.3480488908
ATN,25.9757009589,67.60083687550001
ATO,34.5226426331,71.0666479523
ATS,22.8046195788,57.749073413599994
ATT,23.6494222724,61.2983540687
ATV,47.1962130296,103.306953008
AVL,20.8950093963,43.449712488
AWO,27.399630138200003,50.442434408500006
AWW,24.3091158385,49.825063523400004
BCT,49.6993509739,107.574425471
BEC,22.3359797991,55.7205746534
BIK,51.336273614,105.81973315399999
BOF,25.6796495597,46.5071381338
BOG,21.9790024604,50.38788686
BOZ,15.5526515234,26.7894475073
BPH,19.8920056823,50.790154924700005
BRE,26.697789860100002,45.1238836325
BSV,22.4796553088,31.5646064398
CAN,26.959838858,72.7301169416
CAS,46.863060823000005,98.0485666515
CDO,35.6100528726,83.242312626
CFI,37.2818673307,76.13646377010001
CGF,23.6674159006,34.2030584743
CGS,22.8728121891,42.1188970796
CHA,28.129495134099997,44.304277471599995
CON,21.8557672246,49.0167871588
CZP,23.2234241278,31.9692207709
DAC,35.926417367,73.1070688608
DDR,21.333818736199998,49.34754661149999
DFO,18.1334386962,45.6252553903
DFT,26.4404176998,65.0771713002
DOH,34.7887915478,86.3752207958
DON,21.8477888039,47.5302713429
EAB,24.5730505254,54.974436839300004
EDI,24.3200360173,62.4213821383
EEI,37.5428849487,76.49978758489999
EMT,18.727777450999998,40.1120104148
EON,23.186797195100002,58.4864579442
EPI,32.261055589099996,67.5849503072
ERI,26.2218182571,55.602993866700004
ESV,22.796023510300003,45.757150113
ETR,20.3791575484,47.65464299560001
EUO,34.935734084699995,77.8947499266
EZT,21.8019427038,42.5028000616
FAR,32.4350565117,63.792461652
FER,34.735277085,78.0245006325
FRA,34.4988371198,88.9573761617
GIS,27.557741946900002,57.4790036449
GIU,30.4391282311,60.54741366100001
GME,24.8659739617,53.6801504654
GON,22.537128682600002,44.8076640701
GOO,25.5791467676,40.2710234713
HEU,24.5174274594,43.2600404952
IFR,23.5874766632,46.5294445855
IHW,24.2366840486,47.755270688900005
IMF,28.209888916,67.9822563362
IRR,12.443332903699998,39.2645149393
ISV,22.3467327132,55.4627542792
ITE,23.2774331302,50.9740175308
ITG,21.6174108594,49.2962095529
ITH,24.7151364554,57.9492531253
ITR,24.1403378785,61.2092370688
ITW,26.310826178299997,51.698475850600005
IWR,21.513126222100002,54.1650240927
IWS,21.423589797,53.542414628
IWV,25.6495164506,64.7026068843
IWW,21.679637926999998,50.7943619546
JBW,39.1940203013,88.2292459242
JOZ,20.7345799743,46.223774705100006
JRY,29.085239194899998,61.8697671472
JSN,22.4666527541,43.5456699254
JST,18.921202833699997,28.8503179554
JSW,24.230577843400003,37.3008937173
KFI,21.7137335519,56.74946941100001
LAU,25.1144876307,41.6506172609
LEV,23.827238606999998,52.0369159005
LIO,25.9280907455,43.2893969155
LOS,33.836191237399994,65.670629
LOV,24.874468669499997,48.8238344974
LTA,22.8353218171,55.6600504754
LTF,22.5314552006,47.1674770457
LTJ,30.8237487457,52.6208036392
LTL,19.5395967658,47.604970665799996
LTN,22.1933497857,39.5438684908
MAR,27.4886794573,41.5481792971
MAZ,21.4805789954,50.466314373500005
MEI,17.5608186699,38.7937694014
MEL,25.7519009646,61.41797991520001
MEP,46.36339281229999,93.21194071040001
MER,25.5086228886,52.30702037060001
MFI,23.42298356,41.780176687
MFS,26.629823591799997,65.7947887269
MON,39.1338203647,87.9494291674
MOR,29.0056491302,74.3991287247
MOZ,19.8716436479,46.40025938229999
MSE,22.9128949336,52.168816290200006
MSO,27.1256306709,44.682732551099996
MTF,26.4479917015,53.4196860286
MTN,43.527066491099994,103.424695971
MTT,38.557524532600006,87.4288588328
MTW,31.176280756100002,54.664148155
MVY,29.0207260316,48.354758860100006
MWW,26.983293772600003,63.6084311662
NAB,25.6215576048,46.4570842197
NAT,25.6521124575,59.8060743499
NES,36.81942136,76.5664628475
NON,43.1559169156,84.3436089092
NPO,29.899351611100002,42.649827977600005
NPT,17.535396711700002,30.6039800033
NSI,48.565004997799996,101.671891414
OBW,14.750243579100001,25.1921286182
OFF,24.194774993899998,48.15395459729999
OSI,39.4337988896,73.1901787778
OWE,22.993601761,52.242283071
PAU,21.720448301100003,60.3139497585
PCR,30.6219727037,66.5472139036
PHI,26.020405433,54.2460740303
PON,24.8971209425,47.6460618482
PUN,19.9387990741,39.094328227199995
RHO,22.7509512427,52.2812397601
RRO,28.7051230292,50.612331466899995
RSN,24.082072597699998,45.159346540600005
RTE,22.255735524600002,45.074703624399994
RTH,21.1414017773,42.136418156
RUT,25.4975780848,38.9416994291
RWR,36.1818372776,70.6399623839
RWY,12.7023154467,27.2725112715
SAF,24.7105100801,48.82195928229999
SAO,18.058074084,45.3929738209
SAS,24.459200301,61.4791953976
SAT,25.3704779448,59.154084070100005
SAV,25.8046022283,58.5854958196
SBE,19.3137281022,47.8232353282
SBN,22.3559051205,50.7461650687
SBS,18.6942799079,49.0682127963
SBT,18.5478413307,48.9796611732
SFE,36.5707301494,69.4724790785
SFF,21.4630440192,36.6914764101
SFG,27.4921802542,63.8251018644
SFH,29.304495796799998,65.6049227659
SFN,27.632441096300003,62.0378210974
SFO,23.0716577663,48.4579133317
SFS,22.455026749800002,48.970670759399994
SGT,28.3978738142,53.227553970200006
SIV,25.549578503699998,53.4794202458
SOD,33.2636784395,76.9279394928
SOF,23.5806481747,53.09879800109999
SOS,17.3355585527,28.5816508153
SSF,25.768708934,69.863688367
SSY,35.910411681,69.5046265482
STF,26.0625436616,58.5298672709
STI,21.6444488531,50.552284264499995
STT,20.1363235291,37.3480943431
STW,21.9772629875,44.101622818
SZR,26.582115676599997,76.3738462978
TER,28.7864773205,72.8176010859
THO,25.6074208817,65.04547492340001
TOL,25.5451505971,39.9121551659
TON,39.887878236700004,92.8692907411
TSC,20.0361762603,45.21850317
TUN,22.0523226992,41.9990569961
UEI,26.7726586185,53.208831715
UFI,21.1462678339,50.184551970200005
UOS,24.6787847046,55.808812343
UOZ,25.8479128867,36.6528980236
USI,20.4241587248,40.1979540206
UTL,19.2351516006,41.4151237312
UWY,21.776541103099998,51.717245850699996
VET,22.132186351999998,39.7857961758
VFI,23.5653260297,54.7777806736
VNI,26.5616183125,45.322416974700005
VSV,25.9326382641,48.0151294887
WEI,21.5472115623,36.4098398709
YUG,31.7354958654,69.6497034479
ZON,21.008147526,37.3919311946
