REFCODE,Kh(mmol/gratm) CH4,Ener_dif(kJ/mol)CH4,Kh(mmol/gratm)H2,Ener_dif(kJ/mol)H2
ABW,0.497018,10.3250246,0.023496700000000002,1.0078671000000001
ACO,0.9669358,9.0913954,0.0296362,0.2307199
AEI,0.5694686,5.6860886,0.027799200000000003,1.7360612000000002
AEL,0.6094184,2.4340985,0.0116477,0.9322863000000001
AEN,0.4280884,6.7457228,0.015126400000000002,1.221069
AET,0.12697139999999998,0.5137925,0.0112942,0.10487060000000001
AFG,0.8886246999999999,240.67276,0.023481799999999997,9.5417795
AFI,0.227385,0.24271610000000002,0.0152899,0.0512673
AFN,0.5657300000000001,12.9450293,0.020229,2.5310395
AFO,0.5265907,1.7522237,0.0116021,0.48235290000000003
AFR,0.4911420999999999,1.2963504,0.025423400000000002,0.2695252
AFS,0.3617708,4.0421357,0.0263385,0.8588524
AFT,0.5899321999999999,4.6399126,0.0277067,0.9197004000000001
AFX,0.604747,3.7225785000000005,0.0278305,1.0037475
AFY,0.5946623000000001,3.1912990000000003,0.031428700000000004,0.7279677
AHT,0.062778,99.2071686,0.0127322,4.7723727
ANA,0.3700119,244.79884339999998,0.0133732,10.6636696
APC,0.49785969999999996,32.4297447,0.0207373,1.2251353999999999
APD,1.5332836,8.482127199999999,0.0198688,0.7245951
AST,1.0530545,966.7764892999999,0.026935400000000005,51.1714706
ASV,0.7912555,1.1453954,0.0149839,0.6862087
ATN,0.8940633,3.2572078999999996,0.019538,0.9707556999999999
ATO,0.40536880000000003,0.33491109999999996,0.011909000000000001,0.11426739999999999
ATS,0.2867025,0.6870623,0.0205102,0.1424019
ATT,1.0835653,5.7775831,0.0251188,1.4535743
ATV,1.0594704,14.094948800000001,0.0141096,0.725202
AWO,0.9236383,8.6500511,0.0169078,1.0067786
AWW,0.8173587,3.6516945,0.0219914,1.6895513999999998
BCT,0.0017093,48.2902641,0.013159,1.7186878
BEA,0.4068691,1.9855171000000003,0.0232373,0.4232936
BEC,0.4028894,3.1876755,0.023990099999999997,0.6525788
BIK,0.3954409,11.268473599999998,0.016684400000000002,1.1321995
BOF,0.9988289,2.4075037999999997,0.017971400000000002,0.73311
BOG,0.4346481,1.6893405,0.0210261,0.3535432
BPH,0.355939,5.1258779,0.0262305,1.0875235
BRE,1.0508505,63.490020799999996,0.018918900000000002,1.9629142
BSV,0.9476763000000001,2.5143011000000004,0.018018,0.966039
CAN,0.8501373999999999,0.07096430000000001,0.0240959,0.021214700000000003
CAS,1.2821592,66.3919601,0.015350299999999999,1.9882083
CDO,0.8458793,13.523593900000002,0.0186033,1.4917958
CFI,0.1982138,0.1060734,0.0196274,0.023052700000000002
CGF,1.1321348999999998,49.0586891,0.0154292,1.7976366999999998
CGS,0.6714701,4.8151145,0.0209585,1.3401028
CHA,0.5909949000000001,4.651152099999999,0.0277467,1.0271279
CHI,0.1401211,4.151678100000001,0.010081399999999999,0.4556866
CLO,0.5287778000000001,7.8505783,0.0366475,1.5921074
CZP,1.078964,8.7975187,0.0158128,0.709449
DAC,1.1845406,0.9899304,0.022287099999999997,0.6686394
DFO,0.4141439,3.4838652999999997,0.024804800000000002,0.7028908
DFT,1.4228485,10.1316338,0.023944,1.0474689
DOH,4.3097131,210.848175,0.0282952,6.767195699999999
DON,0.1602224,0.34001079999999995,0.013690899999999999,0.0688561
EAB,0.9629141999999999,13.9867439,0.026156400000000003,1.5208298999999998
EDI,1.1497308000000002,15.2516413,0.0268285,1.701389
EMT,0.9505449,1.7645143,0.0292188,0.36168459999999997
EON,0.8360969000000001,0.9358285,0.021597,0.2041351
EPI,1.0944201,10.6854496,0.021828599999999997,1.5899372999999999
ERI,0.617128,14.1257191,0.0234017,0.7096738
ESV,1.1478511999999998,11.2098427,0.0226268,1.4708964
ETR,0.5433348000000001,0.10871480000000001,0.022450400000000002,0.0217157
EUO,0.46903549999999994,4.1200085,0.018418599999999997,1.0315717
EZT,0.5215888,2.0937321,0.0178544,0.4498674
FAR,1.4753017,266.5070801,0.0236468,9.6467829
