,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
ABW,ABW,2.3447265625,4.004996878900157,1266.3400000000001,286.91800000000006,1.4403866599749482,0.23962035668079773,16.0,2.2568944796339565,0.010997339511762414,19.2,10.6,17.1
ACO,ACO,3.5927734375,4.39089968002003,2663.6600000000003,952.3580000000002,1.7978205115187738,0.21472737902617556,16.0,1.4444495035261873,0.22482971479178987,19.8,19.7,19.5
AEI,AEI,3.8388671875,7.378346698278686,9833.250000000002,5362.007000000001,2.1790253262484356,0.66133546249574,80.0,1.6424152679633024,0.24680437251919377,25.8,25.3,36.7
AEL,AEL,2.0634765625,5.571355310873647,4143.6,1479.5660000000003,1.5752702065875148,0.5521110904661136,42.0,2.4420041357559437,0.5042780649839823,15.4,35.5,25.7
AEN,AEN,3.3994140625,4.669047011971501,4888.730000000001,1606.8390000000004,1.8012467271474912,0.16666658243180868,48.0,1.6162880957995853,0.30027432669558185,35.8,28.2,19.1
AET,AET,8.6376953125,9.25418824100742,9524.700000000003,6116.551000000001,1.944499958861902,0.9617893604545721,86.0,1.2154047542490194,0.07931596512384732,67.1,29.7,16.9
AFG,AFG,2.2041015625,6.352952069707436,7984.170000000002,3066.181000000001,1.7038518166899002,0.6019845710789931,108.0,1.3222383655378065,0.13152408092438064,23.4,21.6,41.3
AFI,AFI,7.4423828125,8.246211251235321,2692.3500000000004,1255.4510000000002,1.7344781412353534,0.8604922077456382,56.0,2.630691815332273,0.8619265214993111,26.3,22.6,15.3
AFN,AFN,2.9951171875,5.2,5357.990000000001,2044.4410000000005,1.7593183206231642,0.3704657435622432,144.0,2.0600809137950074,0.4775661392913107,28.7,25.3,18.9
AFO,AFO,4.9462890625,5.723635208501674,3400.5200000000004,1464.8680000000004,1.7253553065952654,0.596482933511191,80.0,1.4075584592138994,0.3140503293468878,19.8,49.4,16.7
AFR,AFR,7.2138671875,8.637129152675673,5759.130000000001,4273.615000000001,2.8545197650478604,0.7444633112199033,49.0,1.6659543554239358,0.5461726695766758,44.1,26.5,13.5
AFS,AFS,6.2822265625,9.672641831474998,10844.800000000003,6729.062000000002,2.293044051357066,0.8588990314995764,330.0,1.4143631731263007,0.17159537729818825,26.7,21.6,50.3
AFT,AFT,3.6982421875,7.707139547199077,14648.730000000003,8345.362000000003,2.0725651767384177,0.7427627102791334,195.0,1.2849574662083,0.11072872614276032,25.9,23.8,59.1
AFV,AFV,2.3271484375,7.068238818828917,5490.230000000001,2891.5640000000008,2.0508080494231464,0.6974150940912808,143.0,1.7077739187805232,0.29436350664604083,24.9,22.7,25.5
AFX,AFX,3.6279296875,7.655063683601855,9135.380000000001,5236.0520000000015,2.0777796812832525,0.7774970407892705,775.0,1.3422345207770483,0.16992825931514244,25.9,23.5,37.9
