,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
0,"ABWff-[1,0,1]-L-0.732814_0-U-0.748843_0-ss-12.8142965856",2.3359375,5.234500885009766,3484.1500000000005,2197.5340000000006,1.117536187171936,0.5191072225570679,858.0,2.10929030549689,0.5107603281456867,10.6,25.9,14.3,1.0
1,"ABWff-[1,0,1]-L-0.732814_0-U-0.748843_0-ss-6.43686394024",2.4765625,5.234500885009766,1851.9800000000005,1252.3360000000002,1.1834157705307007,0.5415308475494385,900.0,3.7820055006292,1.5529499105832076,10.6,25.8,7.9,1.0
2,"ACOff-[1,1,0]-L-0.674661_0-U-0.674735_0-ss-14.0182230666",3.4609375,5.477225303649902,7121.3200000000015,4907.140000000001,1.1377170085906982,0.5785409212112427,8236.0,2.3030965197710036,0.6016151501572352,19.7,27.6,15.4,1.0
3,"ACOff-[1,1,0]-L-0.674661_0-U-0.674735_0-ss-7.12771441351",3.6015625,5.549775123596191,3831.730000000001,2838.214000000001,1.1813515424728394,0.5978803634643555,6382.0,3.3609632911581024,1.5427566215662707,19.7,27.6,8.6,1.0
4,"AEIff-[0,0,1]-L-0.166088_0-U-0.666091_0-ss-27.551659809",3.8828125,7.92464542388916,14463.390000000003,11987.179000000004,1.4442505836486816,0.8328168392181396,2550.0,1.63978025409672,0.1894528432398646,25.8,25.3,29.5,1.0
5,"AEIff-[0,0,1]-L-0.166088_0-U-0.666091_0-ss-45.919322809",3.8828125,7.9347333908081055,23766.390000000003,19275.524000000005,1.4273136854171753,0.835850179195404,1938.0,1.4336268299533088,0.09070171618711477,25.8,25.3,47.9,1.0
6,"AEIff-[0,0,1]-L-0.166088_0-U-0.666091_0-ss-9.18399680897",3.8828125,7.92464542388916,5152.370000000001,4699.768000000001,1.5103480815887451,0.815001368522644,2499.0,3.127310144732877,1.170188924056418,25.8,25.3,11.1,1.0
7,"AELff-[0,1,0]-L-0.106099_0-U-0.894304_0-ss-11.6695954817",2.0546875,7.4242844581604,4438.530000000001,3026.6150000000007,1.2719674110412598,0.7856852412223816,665.0,2.5278790044228585,0.7014987704606505,15.4,25.8,13.6,1.0
8,"AELff-[0,1,0]-L-0.106099_0-U-0.894304_0-ss-29.9273587917",2.0546875,7.4242844581604,11041.510000000002,6681.613000000001,1.187719702720642,0.6645753979682922,714.0,1.6270052171033584,0.1840145579001661,15.4,25.9,31.9,1.0
9,"AELff-[0,1,0]-L-0.106099_0-U-0.894304_0-ss-48.1851221017",2.0546875,7.4242844581604,17618.910000000003,10292.111000000003,1.1657387018203735,0.6308373808860779,595.0,1.4551376440274255,0.09173948929073121,15.4,25.9,50.1,1.0
10,"AELff-[0,1,0]-L-0.394031_0-U-0.606241_0-ss-24.8326760021",2.0546875,5.549775123596191,9626.290000000003,5409.029000000001,1.1314228773117065,0.5461323857307434,4590.0,1.6480370038315224,0.222441614876636,15.4,25.9,26.8,1.0
11,"AELff-[0,1,0]-L-0.394031_0-U-0.606241_0-ss-43.0904393121",2.0546875,5.582114219665527,16195.530000000002,9021.246000000003,1.1280196905136108,0.5551566481590271,2652.0,1.4672044943117808,0.11115442246474831,15.4,25.9,45.0,1.0
12,"AELff-[0,1,0]-L-0.394031_0-U-0.606241_0-ss-6.57491269214",2.1953125,5.063595771789551,3025.0500000000006,1759.0760000000005,1.1122314929962158,0.47440704703330994,3536.0,4.309552825713823,1.880681699529793,15.4,25.8,8.5,1.0
13,"AENff-[1,0,0]-L-0.0865_0-U-0.91349_0-ss-17.7326225353",1.7734375,5.3888773918151855,9623.080000000002,5745.5920000000015,1.0994445085525513,0.541334331035614,2744.0,2.020900937034591,0.3689821783693872,28.1,19.3,19.7,1.0
14,"AENff-[1,0,0]-L-0.0865_0-U-0.91349_0-ss-35.4611675053",1.7734375,5.3888773918151855,18697.340000000004,10615.585000000003,1.0615490674972534,0.5167796015739441,2989.0,1.6366886234780216,0.13371895102156503,28.1,19.3,37.4,1.0
15,"AENff-[1,0,0]-L-0.0865_0-U-0.91349_0-ss-53.1897124753",1.7734375,5.238320350646973,27759.300000000007,15485.832000000004,1.0484699010849,0.5074691772460938,3038.0,1.5447005022531213,0.0787273308467012,28.1,19.3,55.1,1.0
16,"AETff-[1,1,0]-L-0.592017_0-U-0.592017_0-ss-13.8542942255",1.7734375,10.150861740112305,14557.220000000003,11815.528000000002,1.3676201105117798,0.8817110657691956,8820.0,3.3980469694914937,1.440699821951903,16.9,72.2,15.7,1.0
17,"AETff-[1,1,0]-L-0.592017_0-U-0.592017_0-ss-27.2718081211",1.7734375,10.150861740112305,28100.670000000006,21551.590000000004,1.3357683420181274,0.8654773235321045,17490.0,2.0696222179482695,0.5301797588105007,16.9,72.9,29.1,1.0
18,"AFGff-[1,0,0]-L-0.412401_0-U-0.412521_0-ss-11.4626779114",2.3359375,6.599999904632568,10367.170000000002,7486.488000000002,1.3496438264846802,0.6013615727424622,26550.0,2.7576096973021036,0.8509710858094278,23.3,41.2,13.2,1.0
19,"AFGff-[1,0,0]-L-0.412401_0-U-0.412521_0-ss-22.0793946033",2.3359375,6.599999904632568,18988.450000000004,13198.046000000004,1.3440994024276733,0.6531891822814941,38250.0,1.791848901161043,0.33814618962214354,23.4,41.2,23.8,1.0
20,"AFIff-[1,0,0]-L-0.120262_0-U-0.876676_0-ss-11.8357259757",2.1953125,8.246211051940918,4543.970000000001,3145.741000000001,1.2508066892623901,0.8520132303237915,336.0,2.3144752691093338,0.6352459163656754,26.6,15.5,13.5,1.0
21,"AFIff-[1,0,0]-L-0.120262_0-U-0.876676_0-ss-23.6701738311",2.0546875,8.246211051940918,8722.79,5790.785000000002,1.2180536985397339,0.8422680497169495,408.0,1.5890193815749933,0.2052407836303978,26.6,15.5,25.4,1.0
22,"AFIff-[1,0,0]-L-0.120262_0-U-0.876676_0-ss-35.5046216864",2.0546875,8.246211051940918,12875.070000000003,8409.533000000001,1.2168294191360474,0.8388598561286926,336.0,1.457669873847052,0.12797292022848497,26.6,15.5,37.2,1.0
23,"AFIff-[1,0,0]-L-0.331695_0-U-0.66518_0-ss-18.5766274741",2.0546875,8.101851463317871,7467.460000000002,4725.720000000001,1.2630985975265503,0.7643826603889465,2320.0,1.8847078041793197,0.4088449447067078,27.6,15.5,20.3,1.0
24,"AFIff-[1,0,0]-L-0.331695_0-U-0.66518_0-ss-30.4110753295",2.0546875,8.170679092407227,11823.110000000002,7473.019000000002,1.2521123886108398,0.7503092288970947,2800.0,1.5745071938578759,0.1736362532295094,27.6,15.5,32.1,1.0
25,"AFIff-[1,0,0]-L-0.331695_0-U-0.66518_0-ss-6.74217961878",2.0546875,5.351635456085205,3181.4300000000007,1920.6740000000004,1.1572847366333008,0.5347896814346313,2912.0,4.416247340048032,1.884294285802222,27.3,15.5,8.5,1.0
26,"AFNff-[0,0,1]-L-0.347305_0-U-0.347305_0-ss-19.38836457",3.1796875,7.135825157165527,12600.600000000002,8942.055000000002,1.237560749053955,0.6442946195602417,2310.0,2.031342213658625,0.34454386412277604,28.7,25.3,21.3,1.0
27,"AFNff-[0,0,1]-L-0.347305_0-U-0.347305_0-ss-9.6947348219",3.1796875,7.124605655670166,6549.8600000000015,5072.3420000000015,1.3143442869186401,0.6852445006370544,3150.0,3.010090808465365,0.8192403376636466,28.7,25.3,11.6,1.0
28,"AFOff-[0,1,0]-L-0.058043_0-U-0.942479_0-ss-25.2636336407",1.7734375,7.520638465881348,8092.880000000002,5146.018000000001,1.1702739000320435,0.561087965965271,675.0,1.6067318454834432,0.1919435102837962,19.8,16.9,27.2,1.0
29,"AFOff-[0,1,0]-L-0.058043_0-U-0.942479_0-ss-50.5271914907",1.7734375,7.520638465881348,15895.340000000004,9754.126000000002,1.153135061264038,0.5402193665504456,625.0,1.3910390273515185,0.07058162603174081,19.8,16.9,52.5,1.0
