,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
0,ABW,2.4765625,4.242640495300293,2824.9400000000005,1546.3960000000004,0.9949274063110352,0.5241605639457703,589.0,1.6905954659746443,0.2682483584990823,18.5,9.5,16.8,1.0
1,ACO,3.6015625,4.604345798492432,5859.620000000001,3399.9680000000008,1.0901938676834106,0.590121865272522,550.0,1.7320201970197362,0.3513024763695285,18.6,18.6,18.4,1.0
2,AEI,3.6015625,7.3375749588012695,19212.960000000003,15170.100000000004,1.4181221723556519,0.8166934251785278,2376.0,1.4446963600611873,0.11526083237085556,26.2,25.6,36.9,1.0
3,AEL,1.9140625,5.582114219665527,12974.570000000003,7077.888000000002,1.0946358442306519,0.5597690343856812,5520.0,1.7067356507177769,0.22762739944164337,15.4,36.3,25.4,1.0
4,AEN,3.6015625,5.800000190734863,17123.880000000005,8621.222000000002,0.978988528251648,0.5254803895950317,21450.0,2.1919399092069747,0.4854546921904456,35.8,26.9,18.4,1.0
5,AET,7.5390625,8.392854690551758,26765.110000000004,16642.643000000004,1.0428301095962524,0.7091091871261597,27258.0,3.1001654560429355,1.0308185249179895,64.7,27.9,16.8,1.0
6,AFG,2.4765625,6.749814510345459,20123.370000000003,13329.322000000004,1.2523577213287354,0.6683486700057983,4964.0,1.4425658029924733,0.14719848563071702,25.4,22.0,41.4,1.0
7,AFI,7.2578125,8.101851463317871,8444.730000000001,5111.970000000001,1.1472808122634888,0.7775450348854065,2040.0,2.2430238005705094,0.5550195354454113,26.6,22.8,15.7,1.0
8,AFN,3.0390625,5.199999809265137,12210.530000000002,7525.471000000001,1.1421364545822144,0.5719516277313232,14541.0,2.0533622338468773,0.3909441886798335,28.3,25.7,19.0,1.0
9,AFO,5.0078125,5.400000095367432,14566.640000000003,8139.8290000000015,0.9972895979881287,0.5281828045845032,7614.0,2.782949672706598,0.9156897672295757,18.6,50.0,16.7,1.0
10,AFR,6.9765625,8.31865406036377,11012.480000000001,9886.432000000003,1.4406421184539795,0.9684077501296997,5082.0,2.8986116208140325,0.9750148357967567,44.6,26.2,13.5,1.0
11,AFS,5.9921875,9.433980941772461,23321.130000000005,17252.454000000005,1.2782866954803467,0.8632219433784485,16951.0,1.4126443848994528,0.09092078738673817,26.5,21.5,50.4,1.0
12,AFT,3.6015625,8.199999809265137,30438.780000000006,24244.986000000004,1.2738600969314575,0.8203504681587219,2204.0,1.3300735884672508,0.10821051489093848,27.7,24.1,58.5,1.0
13,AFV,2.3359375,7.2801103591918945,11839.240000000002,8610.768000000002,1.3207011222839355,0.8284745216369629,1078.0,1.540063224646497,0.2305145347785646,25.3,23.0,25.0,1.0
14,AFX,3.6015625,7.800000190734863,19948.270000000004,15504.202000000003,1.3066973686218262,0.8329968452453613,1440.0,1.4425447661674478,0.1468979763500038,27.7,24.0,38.0,1.0
15,AFY,5.8515625,7.696753025054932,6463.550000000001,4811.6680000000015,1.297959327697754,0.7986217737197876,10664.0,2.1703344837259295,0.4021411160916124,25.0,20.4,15.7,1.0
16,AHT,2.6171875,4.019949913024902,8541.79,4790.649000000001,0.8635216951370239,0.5073931813240051,2800.0,2.110199465390974,0.5375294901216419,30.6,17.3,17.3,1.0
17,ANA,2.3359375,4.237924098968506,18120.110000000004,9258.873000000001,0.9049741625785828,0.481924444437027,3640.0,1.5995936172159317,0.19635808448316436,26.7,26.7,26.5,1.0
