,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
0,ABW,2.3359375,4.4631829261779785,3293.3200000000006,1851.6880000000003,0.9863379597663879,0.4868549108505249,1638.0,1.8156756279647817,0.2780646329130295,19.2,10.6,17.0,1.0
1,ACO,3.4609375,4.673328399658203,6874.980000000001,4327.379000000001,1.0932279825210571,0.5281662344932556,6901.0,1.8421361320361387,0.3425461045387811,19.8,19.7,19.5,1.0
2,AEI,3.7421875,7.520638465881348,18286.290000000005,14666.747000000003,1.439993143081665,0.8417280912399292,2205.0,1.4274489435188191,0.11139241261307979,25.8,25.3,36.7,1.0
3,AEL,2.0546875,5.531726837158203,12396.140000000003,7098.112000000002,1.1672861576080322,0.5693110227584839,1548.0,1.6852321184655212,0.2592108240111489,15.4,35.5,25.7,1.0
4,AEN,3.3203125,6.174139976501465,17877.33,9964.573000000002,1.070294737815857,0.48953747749328613,21279.0,2.272614838014418,0.45929977971033364,35.8,28.2,19.1,1.0
5,AET,8.5234375,9.303762435913086,27159.340000000004,19764.591000000004,1.1987566947937012,0.8159388899803162,29913.0,3.28139242087108,1.103688963296107,67.1,29.7,16.8,1.0
6,AFG,2.1953125,6.390618324279785,17786.280000000002,11633.816000000003,1.3085792064666748,0.6637507677078247,2907.0,1.418393754346924,0.13330480007096482,23.4,21.6,41.2,1.0
7,AFI,7.3984375,8.170679092407227,7948.800000000001,4816.4760000000015,1.1481794118881226,0.7851381301879883,1650.0,2.245642677140948,0.5581584911755663,26.3,22.6,15.3,1.0
8,AFN,3.0390625,5.199999809265137,11733.880000000003,7574.667000000002,1.2105411291122437,0.6042789220809937,5808.0,2.0771475455900195,0.467729906159809,28.7,25.3,18.9,1.0
9,AFO,4.8671875,5.617828845977783,14867.580000000004,8885.560000000001,1.034806728363037,0.5409224629402161,4958.0,2.6842658764483134,0.830253851739927,19.8,49.4,16.7,1.0
