name,density,spg,volume,SiOSi_average,SiOSi_gmean,SiOSi_hmean,SiOSi_max,SiOSi_mean,SiOSi_min,SiOSi_skew,SiOSi_std,SiOSi_var,SiO_average,SiO_gmean,SiO_hmean,SiO_max,SiO_mean,SiO_min,SiO_skew,SiO_std,SiO_var,ASA,AV,NASA,NAV,VolFrac,largest_free_sphere,largest_included_sphere,largest_included_sphere_free,max_dim,min_dim,mode_dim,g_gbr,k_gbr
ABW,1.75453196385,74,18.9551644725,160.74041643,160.343937109,159.964019523,180,160.74041643,149.408304628,0.910065430695,11.5192308934,132.692680375,1.60903312169,1.60903312169,1.60903312169,1.60903312169,1.60903312169,1.60903312169,1.67992780631,2.08E-16,4.31E-32,0,0.0122198,0,0,0.02144,3.10046,3.61163,3.61163,1,1,[1],42.3983997144,89.8769433202
ACO,1.6427317059,229,20.2452060964,156.295855837,155.733277552,155.207552611,180,156.295855837,148.394474485,1.15470053838,13.6855939517,187.295481811,1.6057981601,1.6057981601,1.6057981601,1.6057981601,1.6057981601,1.6057981601,0.607114201832,5.47E-16,2.99E-31,0,0.0249099,22.7411,0,0.04092,3.15967,3.91932,3.91754,3,3,[3],31.4076613475,90.1803038965
AEI,1.50157641212,63,22.148351345,149.121202504,149.110811936,149.100400774,151.266150613,149.121202504,146.100525784,-0.251464009626,1.75856886221,3.09256444312,1.6104403197,1.61044024452,1.61044016935,1.6111184242,1.6104403197,1.60996570657,0.549563558485,0.000492101640139,2.42E-07,0,0.0910248,675.805,0,0.13668,3.44131,6.90319,6.90319,3,3,[3],25.2041384714,50.301073919
AEL,1.91427586072,74,17.3733799968,151.484472473,151.059146811,150.650429816,180,151.484472473,137.523963558,0.900939479179,11.5787461008,134.067361266,1.60993826183,1.60993824261,1.60993822339,1.61018256068,1.60993826183,1.60950409882,-0.685153478925,0.000248733972666,6.19E-08,269.292,0.0253361,0,0,0.0485,4.07159,5.22554,5.22554,1,1,[1],28.7996942433,65.1505942247
AEN,2.00822234021,64,16.5606373762,150.758466745,150.162547248,149.581047513,180,150.758466745,128.216395207,0.563418113134,13.5733804986,184.23665816,1.6100649171,1.61006121153,1.61005750221,1.61256212724,1.6100649171,1.6051826485,-0.70654723455,0.00345258883955,1.19E-05,0,0.00966033,10.0765,0,0.0194,3.18878,3.90726,3.90265,2,2,[2],29.5659636382,52.7121368114
AET,1.81715969822,63,18.3018817661,149.374709352,148.530571816,147.693520195,180,149.374709352,126.56510877,0.21254738354,15.9284274098,253.714799748,1.60958194473,1.60958161906,1.60958129337,1.61086887383,1.60958194473,1.60808720579,-0.129291147358,0.00102387803717,1.05E-06,386.434,0.0627246,0,0,0.11398,7.17146,7.76765,7.76765,1,1,[1],22.067712643,40.4591370782
AFG,1.68942175654,176,19.6856953086,157.031493354,156.734781072,156.427971547,167.023261936,157.031493354,139.076037481,-0.795436560163,9.48610123761,89.9861166902,1.60930878443,1.60930865472,1.60930852504,1.61040159804,1.60930878443,1.60883042342,1.00386400157,0.000646223843178,4.18E-07,0,0,338.787,0.0407124,0,2.14429,5.83766,5.83766,0,0,[0],29.5395171653,64.3829940315
AFN,1.73560067112,12,19.1619204235,147.520076051,147.244125098,146.970323632,162.635138257,147.520076051,135.530001321,0.195762805799,9.05036318284,81.9090737412,1.61263946965,1.61263901934,1.61263856898,1.6141815544,1.61263946965,1.61088731797,-0.228997285653,0.00120507690155,1.45E-06,0,0.0296498,248.503,0,0.05146,3.08413,4.75303,4.75303,1,1,[1],22.745542124,43.11638261
AFO,1.91635668981,63,17.3545155366,150.785644152,150.503448058,150.242694484,180,150.785644152,140.211195981,2.04222472647,9.59832821008,92.1279044285,1.60951931739,1.60951908198,1.60951884666,1.61114707627,1.60951931739,1.60878468204,1.0627693641,0.000870676282691,7.58E-07,286.4,0.0281577,0,0,0.05396,4.33443,5.02827,5.02827,1,1,[1],27.761906812,57.591677826
AFR,1.51327077094,59,21.9771917794,145.151589885,145.124169088,145.096771227,149.759609942,145.151589885,141.471672834,0.0711367477877,2.82238174688,7.9658387251,1.60940098397,1.60940096336,1.60940094275,1.60965416538,1.60940098397,1.60899169248,-0.677877037384,0.000257570905269,6.63E-08,719.602,0.106948,4.79848,0,0.16184,6.57251,7.81561,7.81561,2,2,[2],22.6824081847,50.7724880706
AFS,1.45980861224,63,22.7820562697,144.304416635,144.136711179,143.987407733,180,144.304416635,138.998503069,3.92687152822,7.38745776248,54.5745321924,1.61035438142,1.61035436181,1.61035434221,1.61096987438,1.61035438142,1.61024651393,2.03961665763,0.000251321592319,6.32E-08,807.839,0.120488,0,0,0.18258,5.61223,9.11169,9.11169,3,3,[3],20.311332442,50.1289599621
AFT,1.50269578479,176,22.1318528232,149.080163676,149.065484086,149.050857714,152.530765983,149.080163676,146.518496256,0.391730393729,2.09581416134,4.39243699889,1.60946989507,1.60946953466,1.60946917432,1.61092761145,1.60946989507,1.60835784202,0.448293377973,0.00107720040926,1.16E-06,0,0.0881623,655.945,0,0.1364,3.2806,7.13666,6.79037,3,3,[3],25.5420839725,51.9124821035
AFV,1.57009274986,164,21.1818326974,148.423423079,148.232339172,148.039819183,157.042501104,148.423423079,138.032871523,-0.240292193927,7.49724783991,56.208725173,1.60980732832,1.60980721345,1.60980709857,1.61034156472,1.60980732832,1.60906297711,-0.40462640658,0.000608116551886,3.70E-07,0,0.073512,588.872,0,0.11542,3.06438,6.4479,6.43545,2,2,[2],22.8837062369,51.0729877972
AFX,1.50166675379,176,22.1470188796,149.132679868,149.129296311,149.125897872,150.022524408,149.132679868,147.23626865,-0.977371686105,1.00237514766,1.00475593665,1.60963065257,1.60963058868,1.6096305248,1.61008414983,1.60963065257,1.6091771553,1.68E-12,0.000453497268995,2.06E-07,0,0.091592,671.551,0,0.13754,3.33392,7.11659,7.11511,3,3,[3],25.1210648457,50.8405505169
AFY,1.40936464035,12,23.5974715094,145.460093332,144.658011822,143.894262207,180,145.460093332,128.321468548,0.763932381729,15.6289148068,244.262978039,1.60920135421,1.60920122194,1.60920108971,1.61033163677,1.60920135421,1.60882459336,1.15470053838,0.000652568937533,4.26E-07,995.854,0.127519,0,0,0.17972,5.50247,7.42157,7.42157,3,3,[3],19.7417141533,39.0653681679
AHT,1.91741283917,63,17.3449563222,161.436874719,159.262684652,156.94340471,180,161.436874719,125.532431968,-0.705673788234,25.3940313072,644.85682603,1.61203477923,1.61203451774,1.61203425617,1.61268394863,1.61203477923,1.61073644041,-0.707106781187,0.000918064179587,8.43E-07,0,0,0,0.00407843,0,2.13223,3.39623,3.39623,0,0,[0],36.2743168823,63.9096876814
ANA,1.91778474078,230,17.3415927449,148.757140206,148.757140206,148.757140206,148.757140206,148.757140206,148.757140206,-1.27744075647,3.14E-14,9.84E-28,1.60986785469,1.60986780609,1.60986775748,1.61026345218,1.60986785469,1.60947225721,2.25E-12,0.000395597483411,1.56E-07,0,0,0.0806423,0.00442179,0,2.03076,3.67874,3.66422,0,0,[0],34.1795005364,58.9130176767
APC,1.76518010916,64,18.840820704,154.528492879,154.037400387,153.554434914,180,154.528492879,134.026779533,0.489486487046,12.4323765392,154.563986413,1.61088552703,1.6108852582,1.61088498938,1.6118161613,1.61088552703,1.60995489275,2.46E-13,0.00093063427796,8.66E-07,0,0.0119535,13.3963,0,0.0211,2.69029,3.82541,3.63309,1,1,[1],32.3453090093,63.2161549485
APD,1.79458231556,64,18.532135115,158.539117772,158.10770819,157.689117661,180,158.539117772,143.715025561,0.639983774033,11.8614253708,140.693411827,1.60944391523,1.60944369347,1.60944347172,1.61028878078,1.60944391523,1.60859904967,-1.48E-13,0.000844865553211,7.14E-07,0,0.0161933,69.8268,0,0.02906,3.22754,4.21666,4.21268,1,1,[1],38.5932791767,81.4855727305
AST,1.57817871908,225,21.0733052885,161.000696284,160.270759288,159.562558693,180,161.000696284,148.334493896,0.408248290464,15.512866415,240.649024408,1.60997635881,1.60997632803,1.60997629725,1.61013375207,1.60997635881,1.6093467858,-1.5,0.000314786507028,9.91E-08,0,0,527.106,0.0657597,0,1.46106,7.19513,7.19512,0,0,[0],35.5239910392,83.361308654
ASV,1.905430978,124,17.4540260607,142.039073318,141.828770624,141.616849484,149.867264049,142.039073318,132.913562658,-0.238591581449,7.6921152599,59.1686371716,1.62839875492,1.62839874803,1.62839874115,1.62847363342,1.62839875492,1.62809924094,-1.49999999999,0.00014975699109,2.24E-08,218.287,0.0250338,0,0,0.0477,4.02698,4.95123,4.95123,1,1,[1],26.4022792263,42.3480488908
ATN,1.77769435436,139,18.7081889895,153.007751855,152.974256576,152.94122507,158.465298887,153.007751855,150.077239094,0.995229310317,3.22357238769,10.3914189386,1.60930425352,1.60930425352,1.60930425352,1.60930425352,1.60930425352,1.60930425352,2.12132034356,1.57E-16,2.47E-32,236.281,0.0269339,0,0,0.04788,3.70725,5.51283,5.51283,1,1,[1],25.9757009589,67.6008368755
ATO,1.92900986906,1,17.1168227604,157.465603842,156.88239241,156.30509972,175.452548371,157.465603842,142.470359129,0.150930323837,13.5913149209,184.723841279,1.60954072678,1.60954065725,1.60954058772,1.61001382872,1.60954072678,1.60906762483,-6.65E-13,0.000473101945174,2.24E-07,252.695,0.0270756,0,0,0.05448,5.0899,5.3372,5.33417,1,1,[1],34.5226426331,71.0666479523
ATS,1.60311085612,63,20.7455659227,152.068719463,151.931516218,151.794062224,158.795596485,152.068719463,142.492722833,-0.0857643611986,6.44999772029,41.6024705917,1.61019526365,1.61019498936,1.61019471501,1.61089344091,1.61019526365,1.60886689419,-0.704332000249,0.000939709012126,8.83E-07,571.023,0.0800697,0,0,0.12836,6.37122,6.58439,6.58439,1,1,[1],22.8046195788,57.7490734136
ATT,1.70410508145,51,19.51607463,150.369916329,150.120729535,149.896292565,180,150.369916329,145.298074711,2.7994809832,9.12069604451,83.1870963364,1.61009461062,1.61009457906,1.61009454749,1.61032003411,1.61009461062,1.60964376366,-0.707106781186,0.000318796948132,1.02E-07,0,0.0350215,235.837,0,0.05968,3.39122,4.90334,4.8865,2,2,[2],23.6494222724,61.2983540687
ATV,1.8869440875,67,17.6250277723,165.157438152,164.736850327,164.316749186,180,165.157438152,148.203692845,0.0406017222815,11.7808864465,138.789285464,1.60943718377,1.60943712176,1.60943705975,1.60975306388,1.60943718377,1.60880542354,-0.707106781186,0.000446721937928,2.00E-07,0,0.00981486,23.225,0,0.01852,3.04175,3.9155,3.91487,1,1,[1],47.1962130296,103.306953008
AVL,1.57937887344,150,21.0572918925,148.621659845,148.359400154,148.091197197,160.732279414,148.621659845,132.348870532,-0.516295543,8.72740804959,76.167651264,1.60983670842,1.6098363716,1.60983603468,1.61100891727,1.60983670842,1.60779320981,-0.720007489495,0.00104120367093,1.08E-06,0,0.0691921,558.964,1.27E-05,0.10928,3.15024,6.57868,6.18889,2,2,[2],20.8950093963,43.449712488
AWO,1.81899350087,64,18.2834308815,150.002519764,149.618613803,149.245536725,169.973441868,150.002519764,139.350981988,0.606576252178,10.873554404,118.234185377,1.6097897266,1.6097896365,1.60978954641,1.61054909003,1.6097897266,1.60935771443,0.687137483889,0.000538648363292,2.90E-07,0,0.0166906,102.166,0,0.03036,3.26529,4.49867,4.49432,1,1,[1],27.3996301382,50.4424344085
AWW,1.68896640974,129,19.6910025891,148.378281981,148.330799719,148.282850521,153.218598928,148.378281981,141.860478425,-0.567892997802,3.73502589051,13.9504184028,1.60925316584,1.60925309862,1.60925303141,1.60991099329,1.60925316584,1.60892425211,0.707106781188,0.000465154253752,2.16E-07,431.287,0.05234,0,0,0.0884,3.76609,6.89355,6.86456,1,1,[1],24.3091158385,49.8250635234
BCT,1.89534038295,139,17.54694948,170.060398781,169.769677985,169.479454181,180,170.060398781,160.120797668,4.95E-15,9.93960111261,98.7956702778,1.60698311994,1.60698311994,1.60698311994,1.60698311994,1.60698311994,1.60698311994,-0.0632455532034,3.51E-16,1.23E-31,0,0,0,7.39E-05,0,2.20751,2.8127,2.70262,0,0,[0],49.6993509739,107.574425471
BEC,1.5087037699,131,22.0437189927,148.849861975,148.570135319,148.30895724,179.63565979,148.849861975,138.379900445,1.90909647246,9.45726031318,89.4397726313,1.60852637821,1.60852594933,1.60852552026,1.60967467098,1.60852637821,1.60656072037,-0.917579329939,0.00117435406477,1.38E-06,895.11,0.114602,0,0,0.1729,5.90749,6.23586,6.23586,3,3,[3],22.3359797991,55.7205746534
BIK,1.86234545309,63,17.85782648,168.141125219,167.694121921,167.243945774,180,168.141125219,150.577933963,-0.172282376746,12.197037068,148.767713237,1.6082388865,1.60823867822,1.60823846998,1.60939657055,1.6082388865,1.60766004448,0.707106781187,0.000818606239115,6.70E-07,0,0.00979415,7.90923,0,0.01824,3.14631,3.76407,3.76239,1,1,[1],51.336273614,105.819733154
BOF,1.82298355943,62,18.2434129891,145.218440023,145.18850509,145.158901954,150.791281118,145.218440023,142.016039072,0.832301649935,2.96485724349,8.79037847429,1.60965202592,1.60965202033,1.60965201473,1.60983784887,1.60965202592,1.60952551447,0.576525042381,0.000134230109304,1.80E-08,361.456,0.0368628,0,0,0.0672,4.18317,5.16497,5.15523,1,1,[1],25.6796495597,46.5071381338
BOG,1.60199551938,74,20.7600093412,145.957408915,145.839862208,145.723042876,160.405826317,145.957408915,136.211971361,0.31499120517,5.87685258098,34.5373962585,1.61040687424,1.61040675812,1.610406642,1.61125852753,1.61040687424,1.60950964589,-0.074299774193,0.000611545984366,3.74E-07,714.992,0.0969795,0,0,0.15536,6.47542,7.49162,7.49162,3,3,[3],21.9790024604,50.38788686
BOZ,1.29062551572,63,25.768467725,132.552783857,132.487674212,132.426154902,147.424967831,132.552783857,130.190524705,2.75719306532,4.27405158759,18.2675169734,1.61106436567,1.61106361916,1.61106287243,1.61256352324,1.61106436567,1.60899874902,-0.456378280898,0.00155069450872,2.40E-06,1051.01,0.14593,31.1753,0,0.18834,4.5183,8.30506,8.30506,3,3,[3],15.5526515234,26.7894475073
BPH,1.45896272935,38,22.7952649358,144.411276158,144.241721379,144.090334714,180,144.411276158,138.843784981,3.82826305395,7.42069929129,55.0667779718,1.61078172807,1.61078167302,1.61078161799,1.61164861674,1.61078172807,1.61039071122,0.909151712587,0.000421124944957,1.77E-07,776.583,0.117061,0,0,0.18378,5.61418,9.10839,9.10839,3,3,[3],19.8920056823,50.7901549247
BRE,1.82654311123,11,18.2078603798,146.478975218,146.208459724,145.964696924,180,146.478975218,139.875622681,2.75048607639,9.3865383981,88.1071030989,1.61060439274,1.61060437819,1.61060436364,1.61078380598,1.61060439274,1.61024076744,-0.96245968272,0.000216486392256,4.69E-08,0,0,187.171,0.0252172,0,2.55754,4.88311,4.88235,0,0,[0],26.6977898601,45.1238836325
BSV,1.86536138006,230,17.8289538438,131.569807558,131.561638945,131.553470839,133.035897264,131.569807558,130.103717853,-9.30E-15,1.46608970537,2.1494190242,1.61107815335,1.61107812274,1.61107809212,1.61139221232,1.61107815335,1.61076409437,2.65E-13,0.000314058977058,9.86E-08,0,0.0269011,142.745,0,0.05018,3.43565,4.76811,4.76769,3,3,[3],22.4796553088,31.5646064398
CAN,1.68565090889,176,19.7297327528,156.868800596,156.641124271,156.404392663,163.128362348,156.868800596,142.616127324,-1.11064635154,8.28048495894,68.5664311553,1.60867244892,1.60867244892,1.60867244892,1.60867244892,1.60867244892,1.60867244892,-1.47603524218,3.07E-16,9.45E-32,324.352,0.0376711,4.68353,0.00304928,0.0635,5.43027,5.76422,5.76422,1,1,[1],26.959838858,72.7301169416
CAS,1.8713399927,63,17.771993372,166.431761203,166.08414837,165.72664897,180,166.431761203,146.625548542,-0.563072295137,10.6057705005,112.482367909,1.60960198305,1.60960188768,1.60960179232,1.61028132188,1.60960198305,1.60892414438,0.00406132930702,0.000554066409852,3.07E-07,0,0,58.3557,0.0105273,0,2.57334,4.43572,4.43572,0,0,[0],46.863060823,98.0485666515
CDO,1.80129578571,63,18.4630654282,158.715506543,158.401210992,158.102901645,180,158.715506543,147.760672214,1.27774624637,10.246151336,104.983617199,1.60704149948,1.60703660769,1.60703171523,1.61222252519,1.60704149948,1.60271342423,-0.0839164164962,0.00396489804344,1.57E-05,0,0.0259592,208.996,0,0.04676,3.04005,4.98695,4.98695,2,2,[2],35.6100528726,83.242312626
CFI,1.67303832276,74,19.8784699038,161.562883323,160.977089739,160.378836329,180,161.562883323,137.494535557,-0.339594647682,13.5949565866,184.822844591,1.60789360707,1.6078916722,1.60788973847,1.61182272045,1.60789360707,1.60482332187,0.570591228813,0.00249515338592,6.23E-06,460.075,0.0669564,0,0.000215178,0.11202,6.86062,7.07089,7.07089,1,1,[1],37.2818673307,76.1364637701
CGF,1.89558359725,12,17.5446981052,143.526200689,143.278731029,143.033241416,159.155041288,143.526200689,129.636587528,0.271800003741,8.46054119318,71.5807572815,1.61087004443,1.61086976306,1.61086948183,1.61262132845,1.61087004443,1.6101650549,1.21958194007,0.000952326785717,9.07E-07,0,0.0104137,182.812,0.011606,0.01974,2.62714,5.35689,5.0383,1,1,[1],23.6674159006,34.2030584743
CGS,1.68549767785,62,19.7315264115,142.367242398,142.352757817,142.338253705,145.484853872,142.367242398,138.796723055,-0.128805453941,2.02941863066,4.11853997848,1.61006051769,1.61006049379,1.6100604699,1.61034604204,1.61006051769,1.60971641,-0.0947975665826,0.000277385857851,7.69E-08,0,0.0438804,361.197,0,0.07396,3.60868,5.31725,5.24744,1,1,[1],22.8728121891,42.1188970796
CHA,1.76849541141,1,18.117724247,148.841910906,148.839297368,148.836681509,150.131322476,148.841910906,147.752106934,-0.225147758889,0.881647976037,0.777303153651,1.60926202015,1.60926202015,1.60926202015,1.60926202015,1.60926202015,1.60926202015,0.31162499428,9.66E-16,9.33E-31,0,0.0877316,674.849,0,0.13566,3.3192,6.74106,6.72251,3,3,[3],28.1294951341,44.3042774716
CON,1.56665739405,12,21.2282800779,148.396952834,148.185801555,147.980274821,167.536407022,148.396952834,137.197702894,0.837152567952,8.02377635703,64.3809870276,1.610403649,1.61040351694,1.61040338487,1.61137820044,1.610403649,1.60937533711,-0.0673634186122,0.00065218845721,4.25E-07,786.852,0.103469,0,0,0.1621,5.19932,6.76517,6.75979,3,3,[3],21.8557672246,49.0167871588
CZP,2.12581695109,178,15.6445464083,131.304158409,131.005743197,130.712993309,144.923633218,131.304158409,120.790426666,0.444824626066,8.92950715345,79.7360980035,1.61264826195,1.61264818116,1.61264810036,1.61310619005,1.61264826195,1.61187146071,-0.525191094907,0.000510429412186,2.61E-07,0,0.0111863,13.0525,0,0.02378,3.2385,3.75948,3.7452,1,1,[1],23.2234241278,31.9692207709
DAC,1.74129105764,12,19.0993009475,157.557221035,157.119529784,156.697383925,180,157.557221035,143.680446768,0.773978404234,11.9487574972,142.772805727,1.60967564469,1.60967542674,1.60967520876,1.6105694954,1.60967564469,1.60855779795,-0.378584259857,0.000837600202116,7.02E-07,0,0.0369383,265.709,0,0.06432,3.42236,4.79198,4.78242,2,2,[2],35.926417367,73.1070688608
DDR,1.84217178861,1,18.0533879374,150.788134157,150.495142947,150.214511854,180,150.788134157,138.151831644,1.16119532106,9.60770195147,92.3079367883,1.50599355272,1.02067454621,0.0211198163973,1.61207544833,1.50599355272,0.0013795,-3.54511243197,0.395136227546,0.15613263832,0,0.040121,313.771,0.0028912,0.07216,3.24572,7.07203,7.05452,2,2,[2],21.3338187362,49.3475466115
DFO,1.52159221631,175,21.7276891721,144.970868418,144.832030213,144.694374679,157.742775596,144.970868418,133.790778207,0.361010916875,6.3719935988,40.6023024231,1.61020681865,1.61020627645,1.61020573436,1.61234410764,1.61020681865,1.60849729249,0.411156067196,0.00132155976334,1.75E-06,843.433,0.127866,0,0,0.18996,6.78508,10.8902,9.16836,3,3,[3],18.1334386962,45.6252553903
