REFCODE,LCD,PLD,volume,Kh(molec./uc*atm) CH4,Kh(mmol/gratm) CH4,Global_enermax(kJ/mol)CH4,enermaxKJ/mol)CH4,Enermin(kJ/mol)CH4,Ener_dif(kJ/mol)CH4,Kh(molec./uc*atm)H2,Kh(mmol/gratm)H2,Global_enermax(kJ/mol)H2,enermaxKJ/mol)H2,Enermin(kJ/mol)H2,Ener_dif(kJ/mol)H2
ABW,4.13,3.434,454.92394734,0.2389038,0.497018,-9.976758,-11.6597795,-21.9848042,10.3250246,0.0112943,0.0234967,-6.1274843,-6.1876178,-7.1954851,1.0078671
ACO,4.518,3.495,971.769892625,0.9295624,0.9669358,-11.0661678,-11.9371691,-21.0285645,9.0913954,0.0284907,0.0296362,-5.370616,-5.844027,-6.0747466,0.2307199
AEI,7.247,3.661,3189.362593683,1.6423749,0.5694686,-8.661541,-11.9250021,-17.6110897,5.6860886,0.0801743,0.0277992,-1.7139211,-4.0902157,-5.8262768,1.7360612
AEL,5.566,4.54,2084.805599616,1.4646599,0.6094184,-16.1903954,-16.8547268,-19.2888241,2.4340985,0.0279937,0.0116477,-3.4597118,-3.7620835,-4.6943698,0.9322863
AEN,4.323,3.465,2384.73178218,1.2346277,0.4280884,-10.7607737,-15.7098331,-22.4555569,6.7457228,0.0436253,0.0151264,-5.8815317,-6.0255704,-7.2466393,1.221069
AET,8.283,7.528,3953.20646148,0.5492881,0.1269714,-5.9449692,-6.011447,-6.5252395,0.5137925,0.0488597,0.0112942,-1.165195,-1.18021,-1.2850807,0.1048706
AFG,6.299,2.431,2834.74012443988,2.5628374,0.8886247,218.5918732,218.5911407,-22.0816097,240.67276,0.0677226,0.0234818,1.5077474,1.5074198,-8.0343599,9.5417795
AFI,8.235,7.359,1420.6066562699,0.3278944,0.227385,-7.5715065,-7.6453538,-7.8880701,0.2427161,0.0220484,0.0152899,-1.4924237,-1.5092909,-1.5605582,0.0512673
AFN,5.116,3.307,1839.54436065508,1.087727,0.56573,-2.3839462,-7.5712738,-20.516304,12.9450293,0.0388942,0.020229,-3.436826,-4.7782302,-7.3092694,2.5310395
AFO,5.362,4.995,2082.541864392,1.2655941,0.5265907,-15.3177481,-15.431798,-17.184021,1.7522237,0.0278842,0.0116021,-3.2329545,-3.2890539,-3.7714069,0.4823529
AFR,8.295,6.902,2109.81041082,0.9443172,0.4911421,-6.1347427,-6.6875882,-7.9839387,1.2963504,0.0488814,0.0254234,-1.204173,-1.3209568,-1.590482,0.2695252
AFS,9.452,5.952,3827.38545330483,1.2172592,0.3617708,-4.549387,-6.5655904,-10.6077261,4.0421357,0.0886218,0.0263385,-0.8876103,-1.318473,-2.1773255,0.8588524
AFT,7.614,3.521,4780.48020980137,2.5520919,0.5899322,-6.7247157,-11.3532448,-15.9931574,4.6399126,0.1198615,0.0277067,-1.5348198,-4.413671,-5.3333716,0.9197004
AFX,7.589,3.574,3189.17071865996,1.7441197,0.604747,-7.8111429,-12.2897577,-16.0123367,3.7225785,0.0802644,0.0278305,-1.5458692,-4.3855143,-5.3892617,1.0037475
AFY,7.762,5.842,1132.6786324494,0.5716778,0.5946623,-5.9343667,-7.2930112,-10.4843102,3.191299,0.0302139,0.0314287,-1.1664143,-1.4645596,-2.1925273,0.7279677
AHT,3.85,2.693,1248.836855196,0.0905273,0.062778,80.1532059,80.1531754,-19.0539913,99.2071686,0.0183601,0.0127322,-2.8387625,-2.8387988,-7.6111712,4.7723727
ANA,4.154,2.252,2497.189355263,1.0671319,0.3700119,220.6584625,220.6566772,-24.1421738,244.7988434,0.0385688,0.0133732,3.060998,3.0608759,-7.6027942,10.6636696
APC,4.155,3.032,1808.718787584,0.9572332,0.4978597,23.1887798,10.8171206,-21.6126232,32.4297447,0.0398714,0.0207373,-5.455792,-5.8974366,-7.1225719,1.2251354
APD,4.842,3.524,1779.08497104,2.9480394,1.5332836,-10.4461889,-14.3037214,-22.7858486,8.4821272,0.0382016,0.0198688,-5.2797108,-5.8133178,-6.5379128,0.7245951
AST,7.787,1.765,2528.796634624,2.530882,1.0530545,950.1924438,950.1881104,-16.5883389,966.7764893,0.0647357,0.0269354,45.7868614,45.7866898,-5.3847809,51.1714706
ASV,5.362,4.368,1047.241563644,0.9508404,0.7912555,-17.820507,-18.2811527,-19.426548,1.1453954,0.0180059,0.0149839,-3.7896228,-4.1053157,-4.7915244,0.6862087
ATN,5.853,4.047,897.993071496,0.8595066,0.8940633,-15.9532251,-15.9532509,-19.2104588,3.2572079,0.0187828,0.019538,-3.6620917,-4.2322435,-5.2029991,0.9707557
ATO,5.671,5.429,1917.08414916227,0.8768266,0.4053688,-14.7960024,-14.7968636,-15.1317749,0.3349111,0.0257596,0.011909,-3.079906,-3.0802701,-3.1945374,0.1142674
ATS,7.224,6.75,1493.680746432,0.4134315,0.2867025,-8.2249317,-8.265172,-8.9522343,0.6870623,0.0295762,0.0205102,-1.6373607,-1.6480904,-1.7904923,0.1424019
ATT,5.334,3.621,702.57868668,0.7812631,1.0835653,-12.7764368,-15.6686869,-21.44627,5.7775831,0.018111,0.0251188,-3.9249048,-5.3691502,-6.8227243,1.4535743
ATV,4.674,3.406,1269.001999609,1.5277804,1.0594704,-8.3092442,-8.8857908,-22.9807396,14.0949488,0.0203464,0.0141096,-5.4841275,-6.0465674,-6.771769,0.725202
AWO,5.082,3.589,2632.814046935,2.6638185,0.9236383,-11.8637896,-13.2336626,-21.8837128,8.6500511,0.048763,0.0169078,-4.6635308,-5.5980892,-6.6048679,1.0067786
AWW,7.349,4.056,1417.752186412,1.1786498,0.8173587,-11.5772524,-14.2739611,-17.9256554,3.6516945,0.031712,0.0219914,-2.3085942,-3.3806791,-5.0702305,1.6895514
BCT,3.131,2.794,421.12678752,0.0008216,0.0017093,75.4578323,59.4667358,11.1764736,48.2902641,0.0063252,0.013159,-5.8223033,-5.8223295,-7.5410171,1.7186878
BEA,6.601,5.965,4178.432564864,1.564574,0.4068691,-9.1450024,-9.298151,-11.2836685,1.9855171,0.0893566,0.0232373,-1.8497236,-1.8814687,-2.3047624,0.4232936
BEC,6.892,6.461,2116.1970233,0.774634,0.4028894,-7.888299,-7.8883228,-11.0759983,3.1876755,0.0461257,0.0239901,-1.5828846,-1.5829242,-2.2355032,0.6525788
BIK,4.058,3.359,642.88175328,0.2851174,0.3954409,-2.9709878,-10.8025446,-22.0710182,11.2684736,0.0120296,0.0166844,-5.9571362,-6.1029654,-7.2351651,1.1321995
BOF,5.464,4.485,1313.525735214,1.4403339,0.9988289,-16.2913074,-16.8161831,-19.2236881,2.4075038,0.0259152,0.0179714,-3.5798762,-3.8077831,-4.5408931,0.73311
BOG,7.944,6.754,5978.88269028,2.5070951,0.4346481,-6.5808792,-7.6074119,-9.2967529,1.6893405,0.1212806,0.0210261,-1.2932076,-1.5101811,-1.8637242,0.3535432
BPH,9.448,5.954,1914.80225460396,0.5988173,0.355939,-4.5470281,-6.5526171,-11.6784954,5.1258779,0.0441291,0.0262305,-0.8871526,-1.3157629,-2.4032862,1.0875235
BRE,5.158,2.809,873.977298232661,1.0102338,1.0508505,50.2471085,42.6468315,-20.8431892,63.4900208,0.0181876,0.0189189,-3.9090071,-5.2030458,-7.1659603,1.9629142
BSV,5.078,3.703,5134.738707008,5.4662942,0.9476763,-16.6947765,-17.906908,-20.4212093,2.5143011,0.1039297,0.018018,-4.5840545,-4.9952545,-5.9612937,0.966039
CAN,6.21,5.895,710.270379102074,0.6129589,0.8501374,-13.002553,-13.0025883,-13.0735531,0.0709643,0.0173734,0.0240959,-2.6701651,-2.6702063,-2.691421,0.0212147
CAS,4.935,2.837,1279.583522784,1.8489026,1.2821592,47.9402618,43.2413177,-23.1506424,66.3919601,0.0221354,0.0153503,-4.8918862,-4.9918399,-6.9800482,1.9882083
CDO,5.654,3.264,1994.011066245,1.8296656,0.8458793,3.1063187,-5.7290382,-19.2526321,13.5235939,0.0402396,0.0186033,-3.6071818,-5.3795404,-6.8713365,1.4917958
CFI,7.389,7.167,1908.333110768,0.3811049,0.1982138,-7.3795719,-7.3797536,-7.485827,0.1060734,0.0377376,0.0196274,-1.4581813,-1.4582489,-1.4813015,0.0230527
CGF,5.368,2.923,1894.82739536282,2.4488459,1.1321349,35.9659615,27.6144333,-21.4442577,49.0586891,0.0333739,0.0154292,-4.2138128,-4.8901882,-6.6878247,1.7976367
CGS,5.762,3.853,1894.226535508,1.2910332,0.6714701,-13.5443249,-13.6885195,-18.5036335,4.8151145,0.0402969,0.0209585,-3.0052567,-3.9047301,-5.244833,1.3401028
CHA,7.297,3.558,2391.53960060596,1.2783423,0.5909949,-8.703124,-11.3998604,-16.051012,4.6511521,0.060017,0.0277467,-1.7978745,-4.3204002,-5.347528,1.0271279
CHI,3.837,3.482,1410.21884808,0.2447015,0.1401211,-14.5243435,-16.4868164,-20.6384945,4.1516781,0.0176058,0.0100814,-6.2747884,-6.3085771,-6.7642636,0.4556866
CLO,15.661,6.249,17253.512704,6.2015928,0.5287778,-0.6876795,-2.298522,-10.1491003,7.8505783,0.4298076,0.0366475,-0.1332637,-0.46126,-2.0533674,1.5921074
CZP,4.184,3.492,1126.40734140093,1.5558903,1.078964,-14.8630133,-15.8640471,-24.6615658,8.7975187,0.0228024,0.0158128,-6.3026409,-6.4576259,-7.1670752,0.709449
DAC,5.192,4.088,1375.14966821867,1.7081344,1.1845406,-15.4930649,-16.6766109,-17.6665421,0.9899304,0.0321385,0.0222871,-3.36707,-3.9476452,-4.6162844,0.6686394
DFO,11.23,7.124,8864.89718221035,3.2846351,0.4141439,-2.6124816,-3.6996052,-7.1834707,3.4838653,0.1967306,0.0248048,-0.5074816,-0.7262894,-1.4291801,0.7028908
DFT,5.04,3.589,451.651904375,0.6839268,1.4228485,-12.0858212,-12.0858593,-22.2174931,10.1316338,0.0115093,0.023944,-5.1534028,-5.5614586,-6.6089277,1.0474689
DOH,7.792,2.562,2005.18984528223,8.8041614,4.3097131,193.4838257,193.4837799,-17.3643818,210.848175,0.0578033,0.0282952,0.8058636,0.8058378,-5.9613581,6.7671957
DON,8.71,7.988,3737.91891465,0.6161192,0.1602224,-5.4913535,-5.5369406,-5.8769512,0.3400108,0.0526472,0.0136909,-1.0747269,-1.0846075,-1.1534636,0.0688561
EAB,7.075,3.377,2256.65743784746,2.0828166,0.9629142,-3.9382832,-4.8509989,-18.8377419,13.9867439,0.0565773,0.0261564,-2.002944,-4.3979993,-5.9188294,1.5208299
EDI,5.639,3.379,307.48434116,0.3454038,1.1497308,-3.6781533,-3.6781821,-18.9298229,15.2516413,0.0080599,0.0268285,-3.8795483,-4.8747725,-6.5761614,1.701389
EMT,11.485,7.306,7207.30200934281,5.4828403,0.9505449,-2.4295347,-4.3929725,-6.1574864,1.7645143,0.168537,0.0292188,-0.4717824,-0.8646457,-1.2263303,0.3616846
EON,7.67,6.634,3563.018109456,3.0141808,0.8360969,-8.2883778,-8.6000662,-9.5358953,0.9358285,0.0778584,0.021597,-1.6396368,-1.7105922,-1.9147273,0.2041351
EPI,5.38,3.548,1357.15423020047,1.5781788,1.0944201,-8.3036518,-9.4283571,-20.1138077,10.6854496,0.0314773,0.0218286,-3.8807054,-4.8917551,-6.4816923,1.5899373
ERI,6.891,3.245,2239.47669923981,1.3348684,0.617128,1.3135104,-2.4249737,-16.5506935,14.1257191,0.0506188,0.0234017,-2.1351531,-4.9463711,-5.656045,0.7096738
ESV,6.114,3.467,2704.262778096,3.3104575,1.1478512,-8.1610403,-9.2205629,-20.4304066,11.2098427,0.0652567,0.0226268,-2.9722857,-4.7431946,-6.2140908,1.4708964
ETR,9.969,9.265,3106.84036424839,1.5670036,0.5433348,-3.2997143,-3.3008678,-3.4095826,0.1087148,0.064748,0.0224504,-0.642503,-0.6427389,-0.6644546,0.0217157
EUO,6.917,4.861,6540.769442902,3.1563527,0.4690355,-9.6665735,-12.8264437,-16.9464531,4.1200085,0.1239474,0.0184186,-1.9588236,-2.7701056,-3.8016775,1.0315717
EZT,6.411,5.924,2790.765106038,1.5042868,0.5215888,-10.9744577,-11.6008415,-13.6945734,2.0937321,0.051493,0.0178544,-2.2206519,-2.3654299,-2.8152974,0.4498674
FAR,5.891,2.29,4915.09205261923,7.445979,1.4753017,251.8871765,246.1904144,-20.3166752,266.5070801,0.1193474,0.0236468,3.5849323,3.2412117,-6.4055705,9.6467829
FAU,11.059,7.128,14428.770863625,10.7776406,0.9342473,-3.1329131,-4.8641934,-6.2087822,1.3445889,0.3369513,0.0292082,-0.6091007,-0.9585164,-1.2367543,0.2782379
FER,5.543,4.628,2051.260997614,2.2878178,1.057689,-16.4319096,-16.544714,-18.3221474,1.7774352,0.0433564,0.0200443,-3.5129936,-3.6791203,-4.1939611,0.5148407
FRA,6.53,2.588,3834.7469566639,5.0335357,1.3962407,172.5452118,172.5451508,-23.7934456,196.3386078,0.0999186,0.0277162,-0.1308824,-0.1309111,-7.6440616,7.5131502
GIS,4.84,3.236,975.773426958,0.7933902,0.8252886,-0.4320873,-1.3599484,-18.9141541,17.5542049,0.0266722,0.0277446,-4.2975135,-5.5214834,-6.8618197,1.3403363
GIU,6.246,2.432,5604.02324795718,6.7842989,1.1761751,210.9942017,210.9941864,-20.2802486,231.2744446,0.1323588,0.0229467,1.410951,1.4109212,-6.4189291,7.8298507
GME,7.696,7.048,1594.52363725778,0.9072044,0.6291194,-7.703146,-7.845715,-8.0202589,0.174544,0.0403232,0.0279629,-1.5247809,-1.5570968,-1.5982357,0.0411388
GON,6.25,5.357,1691.9067,0.6751159,0.3511297,-12.4468908,-13.1131086,-13.7838144,0.6707063,0.0222125,0.0115528,-2.5445426,-2.7300308,-2.8984542,0.1684233
GOO,4.423,3.069,1687.5462807,1.0801795,0.5618045,11.4518375,5.9679751,-21.0110378,26.9790134,0.0337379,0.0175472,-4.7656775,-5.8253446,-7.2753935,1.4500488
HEU,5.891,3.602,2054.80556085677,2.1364927,0.9877296,-10.2658882,-10.2659197,-18.3793488,8.1134281,0.0465393,0.0215158,-3.2617865,-4.6590667,-5.8463087,1.1872418
IFR,7.225,6.186,1865.44422584855,1.0329677,0.5372495,-9.7654219,-9.967947,-11.9058361,1.9378885,0.0377655,0.019642,-1.9506803,-2.0018249,-2.4164693,0.4146446
IHW,6.581,3.54,6064.636156647,3.7372277,0.5553538,-9.571929,-9.7710514,-20.7698097,10.9987574,0.104986,0.015601,-2.5165703,-5.078227,-6.640542,1.562315
IMF,6.811,5.3,16472.25892192,11.068766,0.6396549,-10.2271709,-11.6192122,-15.9710608,4.3518486,0.3121114,0.0180367,-2.0471287,-2.4129202,-3.4433956,1.0304754
ISV,6.856,6.207,4255.205576424,1.4064835,0.3657574,-7.6647472,-7.7475605,-9.9046211,2.1570609,0.0915138,0.0237983,-1.5347505,-1.553134,-2.0031748,0.4500408
ITE,8.206,4.12,4071.079401708,2.0338116,0.5288947,-7.7028618,-12.7259541,-17.4573898,4.7314367,0.0891175,0.0231751,-1.5145929,-2.97999,-4.7771926,1.7972028
ITH,6.61,4.984,3213.72509556,1.8662603,0.5546549,-10.8040428,-12.6582222,-16.4959698,3.8377469,0.0615932,0.0183056,-2.1790128,-2.6713424,-3.5909991,0.9196568
ITR,6.217,5.007,6454.69892829,3.7191659,0.5526698,-11.7254009,-13.5114012,-16.5731907,3.0617893,0.1245334,0.0185057,-2.3816562,-2.8583586,-3.6366231,0.7782646
ITW,4.657,3.792,1354.0958114998,1.3790348,0.9563198,-15.7986994,-15.8092031,-21.5229645,5.7137623,0.0317854,0.0220422,-4.2688608,-4.7555065,-6.158133,1.4026268
IWR,7.405,5.838,3580.226755416,1.5334184,0.4557338,-6.960887,-8.401432,-12.3579197,3.9564879,0.077133,0.022924,-1.3769389,-1.7020167,-2.5430202,0.8410035
IWS,8.166,6.51,9194.403522668,2.5774996,0.3154263,-5.5351391,-6.7691174,-8.8952694,2.1261528,0.1944205,0.0237926,-1.086309,-1.3475899,-1.794293,0.4467032
IWV,8.477,6.856,10119.577809264,2.4866639,0.2722777,-5.1103315,-6.3404531,-7.1025028,0.7620498,0.2017495,0.0220906,-1.0006666,-1.2560519,-1.4100424,0.1539905
IWW,6.997,6.178,6737.054768613,2.999484,0.4457248,-7.4650269,-8.21772,-11.5198135,3.3020935,0.1388503,0.0206332,-1.4847571,-1.6495976,-2.3387475,0.68915
JBW,4.175,3.54,319.4835948,0.2174241,0.6031085,-14.475647,-15.2153616,-22.8112831,7.595922,0.0063118,0.0175083,-5.9841399,-6.1139512,-7.0607457,0.9467945
JRY,4.485,4.247,1299.090692,1.7396562,1.2064,-19.2946281,-19.7638359,-21.2154274,1.4515915,0.0266306,0.0184675,-4.7711492,-4.7839117,-5.6160269,0.8321154
KFI,10.608,3.979,6412.049636552,2.9773893,0.5161818,-4.6131711,-12.1786442,-18.2888737,6.11023,0.1591532,0.0275919,-0.8986203,-3.1052992,-5.3317981,2.2264986
LAU,5.93,3.91,1333.59418615209,1.1666964,0.8090695,-14.5928698,-15.4729528,-18.4817028,3.008749,0.0252555,0.0175139,-3.0349929,-4.2928925,-5.1404128,0.8475202
LEV,7.028,3.371,3390.43744706922,2.836437,0.8742147,-3.1373577,-4.5230241,-16.9344864,12.4114637,0.0844566,0.0260302,-2.33777,-4.450736,-5.6485567,1.1978205
LIO,5.994,2.231,2041.79737342224,4.1450975,1.9163347,321.94104,321.9355469,-26.4036083,348.3391724,0.0495352,0.0229008,7.4281039,7.4271588,-7.5773501,15.004509
LIT,3.124,1.71,1248.138383424,1E-07,1E-07,1180.112793,1004.8778687,7.3203068,997.5575562,0.004826,0.0032045,55.4293785,47.9033623,-8.4890499,56.3924141
LOS,6.237,2.382,1423.22864503614,1.7454317,1.2104053,219.8340759,206.7077179,-18.9813404,225.6890564,0.0360752,0.0250171,2.1381817,1.3687314,-6.2778387,7.6465702
LOV,5.091,3.63,1071.117686444,1.2226417,1.1304875,-13.4504213,-13.4509506,-22.7138538,9.2629042,0.0267688,0.0247512,-4.8503289,-5.4064569,-6.2688646,0.8624075
LTA,10.991,4.152,1693.243664559,1.4375397,0.9968911,-4.3970504,-11.3980885,-14.9086952,3.5106063,0.0435461,0.0301979,-0.8562081,-2.7052524,-4.7608604,2.0556083
LTF,8.08,7.435,6394.27582553353,4.8004376,0.7397676,-7.5478306,-7.5855956,-7.7180042,0.1324083,0.1412418,0.021766,-1.4890597,-1.4979669,-1.5256896,0.0277227
